City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kumphawapi,TH,17.1087,103.0149,79.83,99,69,3.44,broken clouds
80,College,US,64.8569,-147.8028,48.2,80,99,1.54,overcast clouds
81,Talnakh,RU,69.4865,88.3972,36.21,96,100,16.31,light rain
82,Northam,GB,51.0333,-4.2167,53.26,90,100,8.1,overcast clouds
83,Thompson,CA,55.7435,-97.8558,48.36,57,75,8.05,broken clouds
84,Ponta Do Sol,PT,32.6667,-17.1,75.0,83,52,6.53,broken clouds
85,Sinnamary,GF,5.3833,-52.95,81.19,80,8,14.5,clear sky
86,Porto Novo,BJ,6.4965,2.6036,76.14,90,100,4.85,overcast clouds
87,Bredasdorp,ZA,-34.5322,20.0403,51.64,88,6,3.09,clear sky
88,Tambopata,PE,-12.7333,-69.1833,94.89,46,0,6.91,clear sky
89,Victoria,HK,22.2855,114.1577,83.32,76,99,8.99,overcast clouds
90,Quthing,LS,-30.4,27.7003,49.98,69,2,1.83,clear sky
91,Golden,US,39.7555,-105.2211,68.34,76,100,9.22,overcast clouds
92,Hidalgo,MX,20.5,-99.0,71.67,44,47,17.07,scattered clouds
93,Klaksvik,FO,62.2266,-6.589,52.72,93,100,18.05,light rain
94,Havelock,US,34.8791,-76.9013,85.98,63,20,8.05,few clouds
95,Portland,US,45.5234,-122.6762,79.61,43,75,6.91,broken clouds
96,Quepos,CR,9.4236,-84.1652,79.34,83,99,6.44,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,29.41,75,100,5.68,overcast clouds
98,Azare,NG,11.6765,10.1948,79.66,64,69,1.88,broken clouds
99,Lac Du Bonnet,CA,50.2536,-96.0612,53.38,51,100,13.67,overcast clouds
100,Buribay,RU,51.9617,58.1592,59.83,25,26,1.63,scattered clouds
101,Airai,TL,-8.9266,125.4092,60.21,85,94,2.59,overcast clouds
102,Kerema,PG,-7.9631,145.7785,77.04,90,84,2.93,broken clouds
103,Yumen,CN,40.2833,97.2,56.5,19,27,9.4,scattered clouds
104,Rawson,AR,-43.3002,-65.1023,48.74,84,53,16.84,broken clouds
105,Cape Canaveral,US,28.4058,-80.6048,84.27,90,0,12.66,clear sky
106,Hamilton,US,39.1834,-84.5333,95.25,49,75,6.91,broken clouds
107,Barranca,PE,-10.75,-77.7667,62.76,77,100,10.58,overcast clouds
108,Longyearbyen,SJ,78.2186,15.6401,33.64,75,40,25.32,scattered clouds
109,Avera,US,33.194,-82.5271,95.56,31,0,5.23,clear sky
110,Kaitangata,NZ,-46.2817,169.8464,48.43,77,21,2.59,few clouds
111,Nata,PA,8.3333,-80.5167,83.07,76,33,7.92,scattered clouds
112,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,14.97,light rain
113,Bengkulu,ID,-3.8004,102.2655,73.94,90,49,2.93,light rain
114,Beringovskiy,RU,63.05,179.3167,42.96,90,93,6.49,overcast clouds
115,Khani,GE,41.9563,42.9566,58.57,98,99,1.7,overcast clouds
116,Watertown,US,42.3709,-71.1828,72.84,68,40,5.75,scattered clouds
117,Bluff,NZ,-46.6,168.3333,48.79,81,18,6.08,few clouds
118,Yairipok,IN,24.6667,94.0667,67.78,98,98,1.16,overcast clouds
119,Portadown,GB,54.4241,-6.4412,62.42,80,100,12.28,overcast clouds
120,Barabai,ID,-2.5833,115.3833,72.43,95,97,1.39,overcast clouds
121,Gamba,GA,-2.65,10.0,74.95,85,100,5.93,light rain
122,Batticaloa,LK,7.7102,81.6924,79.11,76,6,3.29,clear sky
123,Les Cayes,HT,18.2,-73.75,86.29,64,86,9.82,overcast clouds
124,Birjand,IR,32.8663,59.2211,66.29,24,0,5.41,clear sky
125,Nagua,DO,19.3832,-69.8474,87.85,66,40,11.5,scattered clouds
126,Ulladulla,AU,-35.35,150.4667,59.9,94,97,6.58,overcast clouds
127,Prince Rupert,CA,54.3161,-130.3201,62.69,73,0,4.61,clear sky
128,Brae,GB,60.3964,-1.353,56.1,94,100,15.79,light rain
129,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,88,75,4.61,light rain
130,Sorland,NO,67.667,12.6934,51.66,94,100,22.5,overcast clouds
131,Boralday,KZ,43.3578,76.8594,64.26,48,75,4.47,broken clouds
132,Avarua,CK,-21.2078,-159.775,77.05,73,75,12.66,broken clouds
133,Mahebourg,MU,-20.4081,57.7,71.89,83,75,14.97,broken clouds
134,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,53.44,74,100,7.81,overcast clouds
135,Makat,KZ,47.6469,53.3463,70.92,16,0,10.18,clear sky
136,Isangel,VU,-19.55,169.2667,77.05,78,9,5.14,clear sky
137,Flinders,AU,-34.5833,150.8552,63.37,89,98,5.99,overcast clouds
138,Cidreira,BR,-30.1811,-50.2056,63.16,84,80,12.28,broken clouds
139,Rodrigues Alves,BR,-7.738,-72.6509,92.68,43,94,1.43,overcast clouds
140,Narsaq,GL,60.9167,-46.05,46.62,67,41,2.86,scattered clouds
141,Reconquista,AR,-29.15,-59.65,57.97,91,100,9.75,overcast clouds
142,Acapulco,MX,16.8634,-99.8901,85.82,70,40,6.91,scattered clouds
143,Dessau,DE,51.8386,12.2456,48.96,53,99,2.98,overcast clouds
144,Nanortalik,GL,60.1432,-45.2371,42.91,70,13,7.38,few clouds
145,Mar Del Plata,AR,-38.0023,-57.5575,57.09,81,0,8.05,clear sky
146,Carnarvon,AU,-24.8667,113.6333,62.98,77,0,19.86,clear sky
147,Vestmanna,FO,62.1564,-7.1664,50.92,100,100,10.36,light rain
148,Maxixe,MZ,-23.8597,35.3472,69.67,91,1,2.04,clear sky
149,Cabo San Lucas,MX,22.8909,-109.9124,87.1,69,0,9.22,clear sky
150,Cravo Norte,CO,6.3017,-70.2041,84.07,70,98,2.62,overcast clouds
151,Miraflores,MX,19.2167,-98.8083,74.05,51,86,2.84,overcast clouds
152,Esperance,AU,-33.8667,121.9,53.44,74,98,14.74,overcast clouds
153,Upernavik,GL,72.7868,-56.1549,33.31,75,99,4.36,overcast clouds
154,Tiksi,RU,71.6872,128.8694,32.9,99,100,15.9,snow
155,Pitimbu,BR,-7.4706,-34.8086,79.39,79,0,9.73,clear sky
156,Hovd,MN,48.0056,91.6419,47.46,52,0,0.89,clear sky
